Gene,Half-Life,R Squared Fit Decay,Log2 Fold Change Rnase III KO,Log2 Fold Change Novobiocin (10µg/ml),Transcription rate (RNA copy number/min)
MPN001,"-20,66","0,645","-1,404","1,079",-6.765040055694206
MPN002,"-15,297","0,799","-1,176","2,34",-2.8011448145250135
MPN003,"-145,493","0,046","-0,235","1,825",-49.31222667776476
MPN004,"-40,977","0,395","0,086","2,283",-10.855799036712918
MPN005,"-28,398","0,684","0,12","2,03",-7.281701992783447
MPN006,"-34,656","0,646","-0,052","1,98",-6.739213761434928
MPN007,"-24,211","0,738","-0,161","2,624",-4.339355547689539
MPN008,"-15,293","0,838","0,235","3,488",-0.7997595530289567
MPN009,"-15,873","0,87","0,549","4,014",-0.5575510283487005
MPN010,"30,517","0,107","-0,343","-1,723",3.55297009762811
ncMPN002,"38,745","0,073","1,632","-1,043",1.1864674916832447
MPN013,"8,594","0,843","0,465","-2,647",0.8562476711143266
ncMPN005,"8,33","0,656","-0,196","-3,008",0.25255909724562836
MPN014,"6,59","0,585","0,406","-1,808",0.06406241111069635
MPN018,"5,512","0,952","-0,886","-3,147",0.6024115548246
MPN019,"5,926","0,957","-1,012","-3,213",0.6590586156297248
MPN020,"6,594","0,972","-0,238","-2,933",1.3305467195853375
MPN021,"8,721","0,973","0,128","-3,305",2.441974748500473
MPN022,"9,567","0,964","0,392","-2,758",2.1883417112323964
MPN023,"12,564","0,864","0,556","-1,731",1.1341562723303622
MPN024,"7,113","0,925","-1,147","-2,272",7.210604782047863
MPN025,"7,31","0,968","-0,892","-2,236",4.270925250852962
MPN026,"8,267","0,957","-0,353","-0,925",1.1133914192079977
MPN028,"11,839","0,913","-0,245","-1,857",1.595106179079833
MPN029,"10,12","0,862","-0,762","-1,723",2.734821905148413
MPN030,"10,322","0,925","-0,703","-1,348",1.7924688997147753
MPN031,"10,38","0,906","-0,318","-0,879",0.8138923458513685
MPN035,"7,982","0,857","0,448","-1,004",0.2506011531304785
MPN036,"7,588","0,934","-0,734","-0,544",5.261851222551392
MPN037,"10,303","0,878","-0,461","1,112",0.11229019680591472
MPN039,"7,429","0,825","-0,022","-1,599",0.8352672804981824
MPN041,"11,841","0,733","-0,144","1,712",0.2276592618911019
MPN042,"16,007","0,734","0,026","-0,816",0.12138819257872444
MPN043,"12,067","0,902","-1,122","-0,965",1.6777306414051079
MPN045,"10,946","0,854","-0,061","-2,155",1.131588265686182
MPN046,"9,222","0,889","-0,075","-1,182",0.6781817390110985
MPN047,"8,712","0,89","0,184","-0,743",0.4953561051205413
ncMPN006,"7,279","0,949","-0,601","-1,451",0.22979295853849757
MPN048,"8,071","0,95","0,05","-0,915",0.13163564331891325
MPN049,"8,737","0,889","0,895","-1,071",0.11607137122092329
ncMPN007,"6,185","0,949","-0,561","-2,196",0.22584543059810303
MPN052,"6,5","0,866","-0,69","-3,136",1.8040179119417359
MPN053,"7,93","0,916","-1,06","-2,245",7.2767531466371675
ncMPN399,"6,695","0,828","-0,033","-3,328",0.5809523918747374
MPN054,"26,586","0,206","1,171","-2,813",0.18709915057308524
ncMPN400,"44,018","0,045","1,752",-inf,0.272342686619731
MPN055,"8,323","0,98","-1,652","-1,363",0.9622926888623524
MPN056,"10,609","0,968","-1,763","-0,273",0.764301331499057
MPN057,"12,414","0,967","-1,742","0,003",0.8758029335427941
MPN058,"14,442","0,891","-1,703","0,517",0.6350489319574678
MPN059,"9,181","0,969","-0,144","-0,404",1.0099688512316305
MPN060,"8,412","0,907","-0,275","-1,419",0.7438994569504073
MPN062,"7,649","0,844","0,57","-2,55",2.405507926815481
MPN063,"7,306","0,88","0,546","-2,911",2.9262483608484304
MPN064,"8,455","0,872","0,368","-2,881",3.0911541687844437
MPN065,"7,587","0,944","0,655","-2,285",3.6717824294824277
MPN066,"8,9","0,946","0,79","-1,929",1.8616490292535715
ncMPN010,"8,845","0,907","0,224","-0,844",1.264150703292308
MPN075,"14,938","0,852","0,44","-0,24",0.6289965484678686
ncMPN011,"15,943","0,842","0,277","-0,022",0.701731701552851
ncMPN012,"15,965","0,807","1,036","-0,508",0.17775715652953167
ncMPN429,"49,353","0,077","0,559","-0,829",
MPN078,"13,918","0,844","-0,456","-0,371",0.6634113660930535
MPN079,"13,671","0,853","-1,018","-0,144",0.48683957422358315
ncMPN013,"17,45","0,964","-0,098","-0,163",4.135463161514431
MPN080,"-134,294","0,154","-0,444","2,857",-3.2251959608840526
ncMPN014,"47,845","0,267","-0,19","0,895",4.205299011536276
MPN081,"-65,838","0,38","-0,537","3,325",-1.7261468324546345
MPN082,"15,107","0,954","-0,783","-0,562",3.789853953016347
MPN083,"26,797","0,873","-0,893","-0,015",11.654917028296659
MPN084,"18,706","0,98","0,118","-0,428",5.062384144685507
MPN085,"12,982","0,891","0,923","-1,553",0.3714970789973448
ncMPN416,"10,727","0,916","0,984","-2,006",5.589000823443001
MPN086,"7,627","0,418","2,422","-1,637",0.04719156802000103
MPN087,"-297,141","0,004","4,243","0,272",-1.8384333946511753
MPN088,"-495,805","0,001","3,02","0,625",-11.556549861786069
MPN089,"7,828","0,952","0,699","-0,462",0.15338868697127492
MPN090,"6,104","0,961","0,053","-2,345",0.5705195944653472
MPN091,"7,449","0,954","0,037","-1,467",0.053749499430969495
MPN092,"9,282","0,814","1,255","-0,399",0.09450976916445608
MPN093,"12,478","0,746","2,134","-0,327",0.08100735093361128
MPN094,"9,13","0,93","0,757","-2,011",0.14112598911804394
Mpnr01,"1623,751","0,36","-1,706","-0,028",669064.134282783
Mpnr02,"-1179,785","0,436","-1,708","0,037",-440482.3810091122
Mpnr03,"128,233","0,138","-1,439","-0,609",1238.7118039440443
MPN095,"5,955","0,934","-0,645","-3,944",0.622908520772058
MPN096,"6,355","0,87","-0,701","-3,444",0.5349586827243086
MPN097,"6,495","0,901","-1,096","-1,487",0.5280128292578723
MPN098,"10,345","0,841","-0,167","-0,717",0.1423876722953778
MPN099,"12,988","0,847","1,042","-2,141",0.0840760724515197
MPN100,"14,19","0,45","0,575","-2,994",0.10250878520166422
MPN101,"9,972","0,868","0,722","-3,118",0.06263669129847593
MPN102,"9,478","0,806","1,667","-3,647",0.0586438234040845
MPN104,"5,395","0,896","0,697","-2,829",1.5327543630351586
MPN105,"8,438","0,761","-0,771","-1,527",1.2045534185811668
MPN106,"9,495","0,784","-1,325","-0,781",0.9353558484556102
MPN107,"11,471","0,893","-0,857","-1,238",0.5263815918212089
MPN108,"11,206","0,933","-0,607","-1,717",0.2721464701960565
MPN109,"10,353","0,841","-0,12","-1,509",0.5906631809354002
MPN110,"13,057","0,916","0,16","-0,973",0.20767453166667812
MPN111,"17,837","0,755","-0,298","-1,503",0.30268192514162995
MPN112,"12,683","0,888","-0,464","-1,432",0.27578581694835774
MPN113,"15,41","0,688","-0,604","-0,082",0.0967133819363748
MPN114,"16,685","0,979","-0,085","-0,113",0.19452471948424999
MPN115,"7,13","0,974","-0,576","-0,55",5.8984600528855164
MPN116,"8,295","0,967","-0,7","0,939",4.786030738382565
MPN117,"9,489","0,961","-0,717","0,794",4.337801184724596
MPN119,"12,666","0,966","-0,665","0,155",2.299340844021312
MPN120,"12,357","0,962","-0,277","-0,43",2.9061786564124015
MPN121,"11,208","0,962","-0,072","-0,959",1.914192242730374
MPN122,"13,551","0,925","0,114","0,237",1.7232969718364088
MPN123,"23,437","0,705","-0,178","1,232",2.056950077523775
MPN125,"27,545","0,28","0,516","-0,004",1.1726250359207175
MPN126,"8,714","0,918","0,31","-1,582",1.4740052547790665
MPN127,"11,847","0,904","1,929","-1,407",0.8566533881985849
MPN128,"10,521","0,899","-0,022","-0,286",0.06509654734129068
ncMPN019,"8,056","0,972","-0,176","-1,387",1.5433073996800444
MPN129,"11,235","0,95","-0,08","-1,365",1.044234241993636
MPN130,"12,751","0,741","1,009","-1,849",0.12964805905850613
MPN131,"9,217","0,803","0,057","-2,714",0.05702813862234485
MPN132,"10,492","0,745","0,125","-1,69",0.06491741178580518
ncMPN021,"6,378","0,972","-0,832","-1,057",2.6535950677755364
MPN133,"8,048","0,952","-0,595","-0,977",1.2210556740653076
MPN134,"9,54","0,957","-1,134","0,038",1.2377196454852089
MPN135,"8,635","0,958","-0,561","-0,235",1.3141065172390325
MPN136,"9,096","0,916","-0,261","-0,547",1.0516989100900491
MPN140,"10,648","0,965","-1,147","0,178",2.0673746083865616
MPN141,"11,485","0,89","0,544","-0,357",0.8551034989419569
MPN142,"14,753","0,792","0,972","0,32",1.3395368978847986
MPN143,"333,332","0,003","1,293","3,181",12.68077186449514
MPN144,"25,649","0,649","1,205","2,635",0.1782745325641221
MPN145,"56,233","0,07","0,519","-0,151",2.9340645416194433
MPN146,"6,783","0,928","-0,958","-1,941",4.025359570120566
MPN147,"8,685","0,883","0,032","0,756",0.573908776119169
MPN148,"8,752","0,943","-0,639","-1,224",3.599451808472863
MPN149,"76,221","0,113","1,161","1,698",0.6733581565045618
MPN150,"164,7","0,104","2,148","0,612",1.3738230272603726
MPN151,"13,032","0,416","0,044","-2,033",0.4827831523222946
MPN152,"8,509","0,733","-1,252","-1,693",0.31830901818578067
MPN153,"8,094","0,931","-1,2","-1,732",1.120224283396984
MPN154,"8,547","0,96","-1,743","-0,359",1.2363508014367195
MPN155a,"9,199","0,956","-1,305","-0,133",2.069251806929394
