Gene,Half-Life,R Squared Fit Decay,Log2 Fold Change Novobiocin (10µg/ml)
MPN001,-20.66,0.645,1.079
MPN002,-15.297,0.799,2.34
MPN003,-145.493,0.046,1.825
MPN004,-40.977,0.395,2.283
MPN005,-28.398,0.684,2.03
MPN006,-34.656,0.646,1.98
MPN007,-24.211,0.738,2.624
MPN008,-15.293,0.838,3.488
MPN009,-15.873,0.87,4.014
MPN010,30.517,0.107,-1.723
ncMPN002,38.745,0.073,-1.043
MPN013,8.594,0.843,-2.647
ncMPN005,8.33,0.656,-3.008
MPN014,6.59,0.585,-1.808
MPN018,5.512,0.952,-3.147
MPN019,5.926,0.957,-3.213
MPN020,6.594,0.972,-2.933
MPN021,8.721,0.973,-3.305
MPN022,9.567,0.964,-2.758
MPN023,12.564,0.864,-1.731
MPN024,7.113,0.925,-2.272
MPN025,7.31,0.968,-2.236
MPN026,8.267,0.957,-0.925
MPN028,11.839,0.913,-1.857
MPN029,10.12,0.862,-1.723
MPN030,10.322,0.925,-1.348
MPN031,10.38,0.906,-0.879
MPN035,7.982,0.857,-1.004
MPN036,7.588,0.934,-0.544
MPN037,10.303,0.878,1.112
MPN039,7.429,0.825,-1.599
MPN041,11.841,0.733,1.712
MPN042,16.007,0.734,-0.816
MPN043,12.067,0.902,-0.965
MPN045,10.946,0.854,-2.155
MPN046,9.222,0.889,-1.182
MPN047,8.712,0.89,-0.743
ncMPN006,7.279,0.949,-1.451
MPN048,8.071,0.95,-0.915
MPN049,8.737,0.889,-1.071
ncMPN007,6.185,0.949,-2.196
MPN052,6.5,0.866,-3.136
MPN053,7.93,0.916,-2.245
ncMPN399,6.695,0.828,-3.328
MPN054,26.586,0.206,-2.813
ncMPN400,44.018,0.045,-inf
MPN055,8.323,0.98,-1.363
MPN056,10.609,0.968,-0.273
MPN057,12.414,0.967,0.003
MPN058,14.442,0.891,0.517
MPN059,9.181,0.969,-0.404
MPN060,8.412,0.907,-1.419
MPN062,7.649,0.844,-2.55
MPN063,7.306,0.88,-2.911
MPN064,8.455,0.872,-2.881
MPN065,7.587,0.944,-2.285
MPN066,8.9,0.946,-1.929
ncMPN010,8.845,0.907,-0.844
MPN075,14.938,0.852,-0.24
ncMPN011,15.943,0.842,-0.022
ncMPN012,15.965,0.807,-0.508
ncMPN429,49.353,0.077,-0.829
MPN078,13.918,0.844,-0.371
MPN079,13.671,0.853,-0.144
ncMPN013,17.45,0.964,-0.163
MPN080,-134.294,0.154,2.857
ncMPN014,47.845,0.267,0.895
MPN081,-65.838,0.38,3.325
MPN082,15.107,0.954,-0.562
MPN083,26.797,0.873,-0.015
MPN084,18.706,0.98,-0.428
MPN085,12.982,0.891,-1.553
ncMPN416,10.727,0.916,-2.006
MPN086,7.627,0.418,-1.637
MPN087,-297.141,0.004,0.272
MPN088,-495.805,0.001,0.625
MPN089,7.828,0.952,-0.462
MPN090,6.104,0.961,-2.345
MPN091,7.449,0.954,-1.467
MPN092,9.282,0.814,-0.399
